Date,Crop_Type,Soil_Type,Temperature_C,Humidity_Percent,Rainfall_mm,Soil_Moisture_Percent,Irrigation_Needed_Liters
2023-03-06,Sugarcane,Loamy,18.0,23.74,15.92,31.94,49.13
2023-03-07,Maize,Sandy,35.3,53.78,3.4,6.67,55.55
2023-03-08,Maize,Clay,31.61,34.89,14.61,40.63,25.68
2023-03-09,Sugarcane,Sandy,44.23,89.72,0.29,19.74,75.28
2023-03-10,Cotton,Sandy,44.06,68.16,9.07,22.34,42.03
2023-03-11,Sugarcane,Silt,17.18,77.53,6.12,21.63,37.51
2023-03-12,Cotton,Silt,26.23,45.94,8.38,38.94,32.92
2023-03-13,Maize,Silt,26.29,25.85,7.51,31.17,37.55
2023-03-14,Rice,Loamy,18.34,54.48,0.06,24.37,42.34
2023-03-15,Maize,Silt,18.53,65.44,6.85,31.67,25.77
2023-03-16,Maize,Clay,17.49,56.99,2.87,41.04,20.87
2023-03-17,Sugarcane,Clay,24.68,23.04,12.93,43.38,38.52
2023-03-18,Cotton,Silt,17.26,31.64,1.22,25.89,42.97
2023-03-19,Cotton,Silt,37.11,84.07,15.93,21.16,29.37
2023-03-20,Maize,Clay,23.32,33.17,3.12,32.07,38.5
2023-03-21,Maize,Clay,44.23,89.03,5.99,35.72,31.86
2023-03-22,Maize,Clay,35.54,31.38,12.09,41.45,35.7
2023-03-23,Sugarcane,Loamy,42.58,25.79,10.46,26.03,62.99
2023-03-24,Wheat,Sandy,39.32,89.11,0.82,16.88,49.29
2023-03-25,Cotton,Loamy,32.07,24.45,0.19,17.68,62.08
2023-03-26,Maize,Clay,31.03,72.49,12.22,36.7,24.36
2023-03-27,Rice,Sandy,26.34,36.88,1.15,10.03,73.65
2023-03-28,Maize,Sandy,41.35,72.99,0.24,10.37,50.13
2023-03-29,Rice,Sandy,29.29,78.2,1.84,21.33,47.81
2023-03-30,Cotton,Clay,32.7,53.6,2.73,40.69,30.84
2023-03-31,Cotton,Loamy,42.09,63.21,19.68,27.16,35.82
2023-04-01,Cotton,Loamy,42.12,44.38,3.61,30.67,44.38
2023-04-02,Rice,Loamy,35.93,75.75,3.07,31.84,56.61
2023-04-03,Maize,Silt,16.38,63.46,2.13,24.18,28.48
2023-04-04,Cotton,Loamy,31.12,52.21,4.39,23.01,41.19
2023-04-05,Maize,Silt,35.9,48.82,10.37,30.3,35.84
2023-04-06,Sugarcane,Sandy,21.72,77.53,2.12,11.95,57.19
2023-04-07,Wheat,Clay,28.82,34.44,2.26,35.07,41.14
2023-04-08,Wheat,Sandy,38.98,63.95,0.43,22.47,42.53
2023-04-09,Sugarcane,Clay,23.31,76.43,6.9,28.69,38.26
2023-04-10,Rice,Silt,26.07,52.38,6.88,20.73,43.51
2023-04-11,Cotton,Loamy,40.33,72.47,0.15,32.34,39.12
2023-04-12,Cotton,Loamy,18.15,71.62,1.01,26.28,27.04
2023-04-13,Rice,Sandy,18.59,82.34,4.5,18.58,56.74
2023-04-14,Sugarcane,Sandy,17.61,57.6,4.42,19.91,64.59
2023-04-15,Cotton,Sandy,23.51,45.42,5.19,16.42,39.14
2023-04-16,Sugarcane,Sandy,33.17,36.61,0.54,8.06,83.48
2023-04-17,Maize,Sandy,20.6,39.96,0.95,22.94,35.48
2023-04-18,Cotton,Loamy,27.31,88.77,0.59,22.96,32.82
2023-04-19,Maize,Loamy,39.51,38.05,0.94,28.37,55.58
2023-04-20,Cotton,Silt,29.3,78.7,1.15,39.36,31.27
2023-04-21,Maize,Clay,37.09,57.09,6.14,40.36,25.52
2023-04-22,Cotton,Loamy,29.43,57.28,0.27,21.73,32.81
2023-04-23,Rice,Silt,21.05,67.92,0.46,22.78,42.02
2023-04-24,Wheat,Loamy,29.19,62.43,7.91,17.13,42.1
2023-04-25,Maize,Silt,27.26,85.31,23.51,24.1,7.28
2023-04-26,Wheat,Silt,36.65,23.37,7.61,36.56,46.5
2023-04-27,Maize,Sandy,39.75,33.05,1.34,17.68,70.45
2023-04-28,Wheat,Clay,32.65,67.81,3.01,39.28,37.4
2023-04-29,Sugarcane,Sandy,31.19,50.71,4.31,12.11,74.35
2023-04-30,Rice,Sandy,17.0,36.03,3.91,13.63,69.0
2023-05-01,Cotton,Silt,35.81,31.67,10.54,29.91,46.45
2023-05-02,Cotton,Silt,44.93,72.67,6.14,35.57,32.86
2023-05-03,Maize,Sandy,36.42,54.58,7.03,7.06,53.22
2023-05-04,Maize,Clay,18.82,47.81,7.98,28.0,21.38
2023-05-05,Maize,Clay,36.6,64.88,5.92,35.85,36.51
2023-05-06,Sugarcane,Silt,20.45,83.59,4.38,28.02,44.77
2023-05-07,Cotton,Silt,42.36,29.74,0.53,25.12,56.36
2023-05-08,Cotton,Silt,18.07,84.31,7.81,20.46,20.91
2023-05-09,Wheat,Silt,26.23,24.82,0.4,22.08,42.04
2023-05-10,Cotton,Loamy,18.68,36.51,0.9,18.73,57.02
2023-05-11,Wheat,Loamy,24.34,35.92,4.68,22.59,36.47
2023-05-12,Rice,Silt,38.63,62.26,0.61,28.29,62.18
2023-05-13,Rice,Loamy,25.41,71.63,3.01,19.49,59.71
2023-05-14,Cotton,Sandy,20.29,54.89,2.71,23.3,29.17
2023-05-15,Cotton,Sandy,21.6,34.89,3.62,24.51,39.75
2023-05-16,Maize,Sandy,40.82,57.45,1.02,10.99,56.86
2023-05-17,Cotton,Loamy,38.99,44.46,3.16,27.5,44.27
2023-05-18,Cotton,Sandy,23.82,69.98,3.75,15.69,44.89
2023-05-19,Cotton,Loamy,18.09,43.41,0.39,30.06,28.63
2023-05-20,Cotton,Sandy,30.8,76.05,19.3,21.8,27.2
2023-05-21,Wheat,Clay,21.66,36.18,5.57,25.39,27.62
2023-05-22,Sugarcane,Loamy,41.62,58.97,6.38,31.11,62.93
2023-05-23,Cotton,Silt,26.92,66.77,1.15,25.86,37.38
2023-05-24,Rice,Loamy,37.08,79.37,0.65,32.53,55.86
2023-05-25,Rice,Sandy,42.32,63.73,2.05,21.5,59.18
2023-05-26,Maize,Silt,33.72,48.66,4.02,28.72,36.77
2023-05-27,Maize,Sandy,37.91,29.81,10.14,14.75,60.37
2023-05-28,Wheat,Sandy,15.67,38.81,3.9,17.67,48.55
2023-05-29,Cotton,Sandy,44.53,56.8,0.94,10.45,57.11
2023-05-30,Rice,Silt,18.53,60.36,1.6,31.08,45.91
2023-05-31,Rice,Silt,21.19,20.77,0.74,38.0,57.24
2023-06-01,Rice,Silt,33.99,54.6,4.26,36.76,54.43
2023-06-02,Rice,Sandy,16.41,31.64,6.7,6.66,65.62
2023-06-03,Rice,Clay,26.68,40.21,2.2,39.38,48.78
2023-06-04,Cotton,Sandy,29.28,66.46,13.81,19.65,38.29
2023-06-05,Maize,Loamy,22.87,61.66,0.26,24.93,28.58
2023-06-06,Rice,Clay,38.13,27.46,0.39,39.56,69.97
2023-06-07,Cotton,Silt,28.04,37.25,8.55,35.99,41.17
2023-06-08,Rice,Silt,25.83,26.41,12.46,22.74,52.7
2023-06-09,Wheat,Loamy,17.6,87.07,7.1,27.78,16.55
2023-06-10,Sugarcane,Sandy,34.12,88.64,11.68,17.93,61.16
2023-06-11,Wheat,Clay,35.1,23.09,4.44,44.99,40.33
2023-06-12,Rice,Loamy,16.02,68.82,1.76,33.49,47.83
2023-06-13,Sugarcane,Sandy,37.35,23.84,3.04,15.45,90.87
2023-06-14,Cotton,Silt,18.62,25.39,5.96,26.8,36.35
2023-06-15,Maize,Loamy,24.46,57.76,7.82,21.38,23.76
2023-06-16,Sugarcane,Sandy,41.3,49.23,3.1,24.81,62.0
2023-06-17,Sugarcane,Clay,26.52,85.28,0.36,25.19,47.32
2023-06-18,Wheat,Clay,16.13,53.58,4.35,30.43,24.39
2023-06-19,Wheat,Loamy,27.64,71.63,1.36,17.21,39.13
2023-06-20,Rice,Silt,36.47,61.24,1.62,38.21,57.27
2023-06-21,Wheat,Clay,35.39,35.28,14.97,40.73,27.54
2023-06-22,Cotton,Sandy,33.4,31.69,23.65,9.63,47.66
2023-06-23,Sugarcane,Loamy,30.38,36.15,0.97,19.41,83.12
2023-06-24,Cotton,Silt,25.5,24.05,17.39,37.68,37.57
2023-06-25,Rice,Clay,20.22,47.74,7.1,38.92,37.92
2023-06-26,Cotton,Sandy,33.69,72.35,0.18,22.9,37.16
2023-06-27,Cotton,Clay,26.74,39.11,3.24,25.89,47.11
2023-06-28,Rice,Clay,24.87,85.21,6.64,30.63,33.52
2023-06-29,Cotton,Clay,16.46,57.28,16.37,27.19,22.37
2023-06-30,Sugarcane,Clay,16.85,81.8,3.63,43.13,35.43
2023-07-01,Rice,Silt,31.97,38.69,10.54,35.95,55.95
2023-07-02,Wheat,Loamy,41.02,69.59,9.07,28.95,36.08
2023-07-03,Cotton,Sandy,20.68,81.71,16.26,14.31,32.27
2023-07-04,Rice,Sandy,39.6,36.0,11.97,5.02,75.34
2023-07-05,Sugarcane,Clay,22.76,33.52,0.44,31.53,60.36
2023-07-06,Rice,Silt,15.27,77.31,0.69,25.67,37.11
2023-07-07,Wheat,Silt,40.2,47.45,0.99,35.07,41.73
2023-07-08,Maize,Silt,38.13,86.31,0.91,35.42,39.25
2023-07-09,Wheat,Sandy,33.63,23.2,10.26,24.47,37.81
2023-07-10,Maize,Loamy,18.9,73.08,0.12,15.44,36.94
2023-07-11,Cotton,Loamy,35.5,51.21,1.6,34.94,44.56
2023-07-12,Sugarcane,Clay,19.91,75.64,5.92,29.42,37.49
2023-07-13,Maize,Sandy,18.94,80.76,16.52,5.63,29.39
2023-07-14,Sugarcane,Loamy,43.94,73.21,2.92,21.24,58.92
2023-07-15,Rice,Clay,21.01,80.77,6.27,36.26,34.83
2023-07-16,Cotton,Silt,19.78,34.26,0.48,23.07,39.72
2023-07-17,Rice,Silt,15.54,75.78,1.74,38.24,42.81
2023-07-18,Maize,Sandy,28.86,20.09,4.56,17.15,56.49
2023-07-19,Wheat,Sandy,21.77,31.26,5.27,11.52,45.54
2023-07-20,Cotton,Silt,28.66,20.81,0.38,27.85,44.88
2023-07-21,Cotton,Clay,37.71,86.69,11.92,39.49,31.49
2023-07-22,Wheat,Clay,18.08,59.96,0.09,34.65,23.26
2023-07-23,Wheat,Sandy,38.27,85.89,0.38,15.68,52.3
2023-07-24,Wheat,Clay,17.36,47.78,0.71,36.35,26.14
2023-07-25,Rice,Loamy,21.0,31.72,0.55,27.73,56.24
2023-07-26,Wheat,Sandy,33.5,62.91,1.78,23.7,37.68
2023-07-27,Maize,Sandy,38.5,62.86,3.31,18.22,58.32
2023-07-28,Rice,Sandy,28.57,65.05,3.74,19.63,62.49
2023-07-29,Maize,Loamy,34.51,53.55,4.78,21.58,37.82
2023-07-30,Sugarcane,Silt,41.15,50.36,0.22,23.23,62.13
2023-07-31,Cotton,Sandy,24.97,57.97,3.4,6.63,44.42
2023-08-01,Sugarcane,Clay,27.55,34.25,9.18,28.48,62.76
2023-08-02,Rice,Clay,40.39,64.01,6.65,40.35,45.03
2023-08-03,Rice,Clay,30.42,61.16,0.15,32.91,55.64
2023-08-04,Rice,Silt,27.65,39.38,4.49,38.25,58.26
2023-08-05,Sugarcane,Sandy,33.95,71.32,0.71,19.32,72.45
2023-08-06,Rice,Silt,26.19,55.88,2.66,21.38,49.62
2023-08-07,Maize,Clay,28.36,56.04,2.23,36.86,30.98
2023-08-08,Cotton,Clay,44.08,38.07,5.35,31.5,51.64
2023-08-09,Maize,Clay,22.11,36.43,10.76,33.84,26.99
2023-08-10,Sugarcane,Sandy,35.08,30.2,2.98,16.76,92.69
2023-08-11,Wheat,Silt,25.78,46.56,4.65,27.13,30.2
2023-08-12,Wheat,Clay,36.16,51.25,9.98,36.16,35.24
2023-08-13,Maize,Sandy,44.6,28.61,1.31,6.03,68.84
2023-08-14,Cotton,Sandy,20.4,26.2,0.55,16.69,56.13
2023-08-15,Maize,Clay,29.4,68.02,0.09,31.46,35.84
2023-08-16,Cotton,Sandy,25.28,57.26,0.67,7.65,47.86
2023-08-17,Rice,Sandy,36.99,31.37,1.04,19.62,82.94
2023-08-18,Sugarcane,Loamy,20.31,68.48,9.1,33.89,46.1
2023-08-19,Rice,Sandy,33.54,80.82,4.23,5.61,67.59
2023-08-20,Maize,Clay,33.02,85.86,8.77,38.34,28.46
2023-08-21,Maize,Sandy,44.98,23.37,18.9,13.14,60.22
2023-08-22,Wheat,Clay,32.01,71.69,10.54,33.08,18.96
2023-08-23,Cotton,Sandy,42.04,81.45,1.91,22.38,39.25
2023-08-24,Wheat,Clay,24.74,45.65,2.52,38.91,24.33
2023-08-25,Wheat,Clay,22.13,46.13,1.29,26.46,25.62
2023-08-26,Rice,Sandy,28.9,46.59,9.95,15.38,59.88
2023-08-27,Sugarcane,Clay,25.24,46.61,2.54,36.6,55.2
2023-08-28,Cotton,Silt,31.48,72.28,6.28,30.42,31.93
2023-08-29,Cotton,Loamy,41.9,24.99,15.47,28.09,44.28
2023-08-30,Maize,Clay,29.38,33.62,0.91,37.35,43.14
2023-08-31,Cotton,Clay,39.09,57.74,1.86,37.21,46.3
2023-09-01,Wheat,Clay,27.41,28.53,1.0,38.62,38.09
2023-09-02,Sugarcane,Loamy,36.27,27.48,4.19,20.13,77.78
2023-09-03,Maize,Sandy,39.18,58.52,0.22,17.66,60.71
2023-09-04,Sugarcane,Sandy,32.81,75.56,5.2,8.5,64.16
2023-09-05,Rice,Silt,38.1,58.96,1.48,26.04,61.39
2023-09-06,Maize,Silt,35.14,76.67,7.28,22.99,32.54
2023-09-07,Sugarcane,Loamy,22.06,80.85,3.2,25.71,43.07
2023-09-08,Sugarcane,Loamy,21.91,34.43,5.08,20.14,55.79
2023-09-09,Wheat,Sandy,19.25,39.22,4.54,18.52,49.66
2023-09-10,Sugarcane,Loamy,36.74,21.11,2.09,31.37,75.62
2023-09-11,Rice,Silt,23.22,25.56,0.45,37.88,53.15
2023-09-12,Wheat,Loamy,25.31,63.2,2.92,31.64,31.02
2023-09-13,Maize,Loamy,34.21,38.98,4.49,28.6,46.38
2023-09-14,Rice,Loamy,20.71,23.66,2.38,22.26,57.97
2023-09-15,Maize,Silt,32.41,26.21,16.31,32.7,39.53
2023-09-16,Rice,Sandy,27.68,77.53,0.01,11.02,62.89
2023-09-17,Cotton,Silt,26.48,28.39,18.28,20.4,36.42
2023-09-18,Maize,Clay,40.26,56.47,4.89,26.78,44.53
2023-09-19,Wheat,Clay,39.78,74.74,6.17,25.72,28.82
2023-09-20,Rice,Clay,25.8,26.13,13.82,36.08,48.83
2023-09-21,Maize,Sandy,28.42,62.04,3.63,23.39,32.98
2023-09-22,Maize,Clay,26.73,55.08,2.53,35.79,33.77
2023-09-23,Rice,Sandy,36.64,29.89,1.19,21.37,68.94
2023-09-24,Cotton,Sandy,19.61,35.65,15.77,16.46,47.6
2023-09-25,Rice,Clay,29.38,41.96,4.66,27.78,52.39
2023-09-26,Sugarcane,Silt,30.08,47.91,0.79,27.35,57.41
2023-09-27,Rice,Silt,19.05,87.42,3.99,39.32,39.59
2023-09-28,Sugarcane,Loamy,30.18,50.77,0.56,27.82,58.3
2023-09-29,Rice,Silt,25.94,47.05,4.16,23.84,48.27
2023-09-30,Cotton,Sandy,16.73,68.65,20.58,9.78,22.85
2023-10-01,Wheat,Silt,24.1,27.07,5.89,21.25,30.06
2023-10-02,Wheat,Clay,33.46,41.44,4.89,35.54,34.56
2023-10-03,Sugarcane,Silt,27.14,65.79,2.19,30.51,54.89
2023-10-04,Sugarcane,Clay,38.08,20.77,2.69,34.63,72.12
2023-10-05,Sugarcane,Sandy,35.43,33.28,4.82,11.47,92.01
2023-10-06,Sugarcane,Clay,20.97,24.52,0.22,32.43,58.6
2023-10-07,Cotton,Loamy,29.98,38.62,0.81,17.54,62.19
2023-10-08,Maize,Sandy,29.28,46.31,2.51,14.19,49.71
2023-10-09,Sugarcane,Clay,43.66,75.08,1.89,38.76,59.63
2023-10-10,Sugarcane,Clay,40.23,22.69,11.6,34.23,65.82
2023-10-11,Rice,Silt,41.85,64.57,4.76,21.33,60.11
2023-10-12,Cotton,Clay,37.12,55.86,5.7,25.83,37.51
2023-10-13,Cotton,Clay,17.16,24.99,0.06,44.13,31.43
2023-10-14,Rice,Loamy,23.9,44.48,7.45,28.23,38.11
2023-10-15,Cotton,Sandy,17.95,66.22,7.23,10.3,37.13
2023-10-16,Maize,Clay,23.86,73.85,4.9,32.64,21.23
2023-10-17,Wheat,Silt,33.45,74.22,5.16,30.61,22.25
2023-10-18,Rice,Sandy,38.96,40.5,19.55,17.04,65.49
2023-10-19,Maize,Sandy,18.84,43.68,13.16,9.49,32.23
2023-10-20,Cotton,Sandy,28.18,62.91,14.33,9.81,37.73
2023-10-21,Cotton,Sandy,15.38,89.47,5.57,11.34,37.28
2023-10-22,Maize,Clay,31.32,64.52,1.25,44.57,29.49
2023-10-23,Maize,Silt,20.32,58.15,20.89,38.75,5.26
2023-10-24,Rice,Sandy,18.95,70.82,8.51,9.27,50.04
2023-10-25,Maize,Clay,27.4,73.07,6.8,37.24,20.64
2023-10-26,Sugarcane,Sandy,41.2,64.54,7.16,8.2,74.77
2023-10-27,Wheat,Silt,36.79,89.43,0.52,28.03,36.8
2023-10-28,Cotton,Clay,31.65,71.31,4.79,28.76,34.13
2023-10-29,Sugarcane,Clay,31.63,20.37,7.16,25.71,66.47
2023-10-30,Wheat,Sandy,37.76,67.49,7.06,21.84,34.82
2023-10-31,Cotton,Clay,18.74,46.98,5.16,40.61,13.3
2023-11-01,Rice,Clay,34.89,20.13,0.98,25.58,63.0
2023-11-02,Maize,Clay,26.63,48.16,10.37,35.2,24.34
2023-11-03,Sugarcane,Silt,21.76,69.21,0.27,29.73,50.6
2023-11-04,Cotton,Loamy,15.69,42.55,5.06,17.98,41.17
2023-11-05,Maize,Sandy,44.46,34.69,8.72,15.41,62.24
2023-11-06,Wheat,Loamy,22.08,46.0,0.32,31.03,26.6
2023-11-07,Wheat,Silt,23.98,32.14,5.07,29.92,28.07
2023-11-08,Maize,Loamy,37.2,86.52,1.13,26.31,40.88
2023-11-09,Cotton,Clay,36.01,61.01,4.42,38.95,47.58
2023-11-10,Cotton,Clay,16.68,79.69,1.28,32.54,24.77
2023-11-11,Maize,Clay,28.06,85.61,6.12,37.62,20.3
2023-11-12,Rice,Loamy,28.11,71.07,7.25,18.18,55.66
2023-11-13,Maize,Clay,37.54,65.99,15.69,26.38,30.34
2023-11-14,Maize,Loamy,22.41,83.44,1.44,20.44,24.56
2023-11-15,Rice,Clay,38.3,24.58,3.34,25.67,67.38
2023-11-16,Rice,Loamy,19.18,57.27,2.65,21.95,47.4
2023-11-17,Rice,Silt,34.91,87.44,4.11,38.74,47.31
2023-11-18,Maize,Silt,22.8,71.16,19.9,25.13,13.93
2023-11-19,Rice,Clay,31.96,52.48,17.88,37.17,44.1
2023-11-20,Wheat,Clay,19.54,35.77,1.44,42.01,25.37
2023-11-21,Wheat,Silt,18.44,80.21,6.42,21.35,16.25
2023-11-22,Wheat,Sandy,17.45,52.08,3.31,8.32,42.67
2023-11-23,Wheat,Sandy,17.93,80.34,3.08,19.99,33.74
2023-11-24,Maize,Loamy,28.78,23.64,7.72,19.03,51.55
2023-11-25,Maize,Sandy,24.91,72.97,3.66,9.1,40.27
2023-11-26,Maize,Silt,22.66,86.26,4.11,35.01,23.35
2023-11-27,Rice,Clay,17.82,44.06,1.66,32.81,46.79
2023-11-28,Maize,Loamy,39.66,46.63,7.47,34.29,36.22
2023-11-29,Rice,Silt,23.61,75.5,4.31,32.69,41.79
2023-11-30,Rice,Sandy,28.43,59.05,0.91,17.27,64.18
2023-12-01,Cotton,Sandy,20.07,55.49,4.56,5.67,44.18
2023-12-02,Maize,Silt,19.56,50.82,4.78,21.67,30.29
2023-12-03,Maize,Loamy,30.16,87.7,2.7,34.68,34.01
2023-12-04,Sugarcane,Sandy,19.98,81.73,2.79,8.24,57.08
2023-12-05,Wheat,Loamy,30.82,70.35,11.05,16.59,36.39
2023-12-06,Sugarcane,Silt,40.75,77.33,3.89,34.2,58.89
2023-12-07,Cotton,Sandy,39.65,52.15,2.21,14.88,61.97
2023-12-08,Maize,Sandy,20.21,69.84,8.74,7.01,36.44
2023-12-09,Maize,Sandy,25.44,51.52,6.91,18.02,43.73
2023-12-10,Wheat,Clay,39.19,79.06,1.46,25.62,36.44
2023-12-11,Rice,Sandy,24.45,20.27,5.72,8.34,65.93
2023-12-12,Wheat,Silt,17.18,25.4,2.08,37.33,33.29
2023-12-13,Sugarcane,Loamy,37.89,48.58,7.12,33.07,58.4
2023-12-14,Wheat,Loamy,16.77,82.92,5.26,32.48,12.0
2023-12-15,Cotton,Loamy,26.69,46.57,1.29,22.63,32.77
2023-12-16,Cotton,Sandy,39.07,53.53,0.09,13.43,57.16
2023-12-17,Wheat,Loamy,44.18,77.82,6.01,31.79,32.89
2023-12-18,Wheat,Loamy,33.85,57.29,5.04,24.0,28.31
2023-12-19,Sugarcane,Clay,17.05,38.43,0.24,36.34,58.7
2023-12-20,Cotton,Clay,23.92,40.99,6.8,25.96,27.42
2023-12-21,Rice,Clay,24.91,43.83,22.56,37.52,25.19
2023-12-22,Wheat,Silt,16.04,60.8,26.95,37.11,5.13
2023-12-23,Sugarcane,Silt,39.94,61.93,0.61,21.88,67.46
2023-12-24,Maize,Loamy,39.88,81.53,4.24,25.35,37.58
2023-12-25,Maize,Sandy,28.04,74.17,4.61,22.85,27.66
2023-12-26,Sugarcane,Loamy,28.36,75.22,5.1,28.53,42.79
2023-12-27,Maize,Sandy,38.6,87.95,1.52,10.43,52.84
2023-12-28,Wheat,Clay,23.07,48.49,11.1,25.06,12.24
2023-12-29,Rice,Loamy,19.2,39.38,17.79,21.63,44.89
2023-12-30,Cotton,Silt,23.42,34.49,3.63,20.11,37.05
2023-12-31,Cotton,Silt,18.24,43.72,8.11,31.44,25.08
2024-01-01,Cotton,Sandy,42.95,47.79,0.46,17.34,57.68
2024-01-02,Cotton,Loamy,30.22,81.2,3.4,29.05,37.96
2024-01-03,Sugarcane,Loamy,23.24,47.62,2.74,23.22,52.45
2024-01-04,Sugarcane,Clay,33.24,41.66,8.68,44.1,46.93
2024-01-05,Wheat,Loamy,15.06,70.23,8.85,15.81,32.23
2024-01-06,Rice,Sandy,34.96,76.02,5.43,6.85,60.58
2024-01-07,Maize,Clay,17.13,25.61,2.19,43.83,29.01
2024-01-08,Wheat,Sandy,25.86,61.56,0.05,17.72,47.48
2024-01-09,Wheat,Loamy,41.21,70.68,0.64,33.05,32.4
2024-01-10,Rice,Clay,35.85,57.27,2.98,26.69,59.4
2024-01-11,Sugarcane,Clay,39.24,35.12,3.14,41.33,62.4
2024-01-12,Sugarcane,Sandy,40.56,48.27,0.4,15.85,82.17
2024-01-13,Maize,Silt,38.95,77.57,9.74,38.33,32.59
2024-01-14,Cotton,Silt,15.37,45.9,0.14,27.86,30.15
2024-01-15,Rice,Silt,19.97,65.2,0.23,35.24,47.68
